,2016-04-01_ents,2016-04-01_count,2016-04-02_ents,2016-04-02_count,2016-04-03_ents,2016-04-03_count,2016-04-04_ents,2016-04-04_count,2016-04-05_ents,2016-04-05_count,2016-04-06_ents,2016-04-06_count,2016-04-07_ents,2016-04-07_count,2016-04-08_ents,2016-04-08_count,2016-04-09_ents,2016-04-09_count,2016-04-10_ents,2016-04-10_count,2016-04-11_ents,2016-04-11_count,2016-04-12_ents,2016-04-12_count,2016-04-13_ents,2016-04-13_count,2016-04-14_ents,2016-04-14_count,2016-04-15_ents,2016-04-15_count,2016-04-16_ents,2016-04-16_count,2016-04-17_ents,2016-04-17_count,2016-04-18_ents,2016-04-18_count,2016-04-19_ents,2016-04-19_count,2016-04-20_ents,2016-04-20_count,2016-04-21_ents,2016-04-21_count,2016-04-22_ents,2016-04-22_count,2016-04-23_ents,2016-04-23_count,2016-04-24_ents,2016-04-24_count,2016-04-25_ents,2016-04-25_count,2016-04-26_ents,2016-04-26_count,2016-04-27_ents,2016-04-27_count,2016-04-28_ents,2016-04-28_count,2016-04-29_ents,2016-04-29_count,2016-04-30_ents,2016-04-30_count
0,blm,28,blm,35,soros,43,soros,131,soros,115,soros,146,blm,166,blm,107,benghazi,301,blm,96,blm,67,blm,52,blm,49,blm,75,blm,70,rapists,48,blm,34,blm,65,blm,51,soros,35,pedophiles,67,soros,45,soros,25,soros,67,black plague rat,56,pizza,67,globalist,41,globalist,45,soros,73,blm,75
1,soros,26,soros,24,blm,36,blm,49,rapists,46,george soros,60,soros,116,rapists,92,blm,65,globalist,30,soros,56,civil war,34,pizza,20,rapists,75,rapists,55,blm,46,rapists,25,soros,33,rapists,28,blm,27,pedophile,58,benghazi,36,benghazi,22,globalist,39,clinton emails,56,benghazi,45,pizza,36,pizza,33,blm,53,soros,45
2,rapists,21,globalist,23,globalist,24,globalist,29,blm,44,blm,60,rapists,106,soros,63,soros,37,soros,30,civil war,40,soros,32,soros,20,soros,37,soros,35,soros,28,soros,22,pizza,22,soros,25,globalist,22,blm,42,blm,29,blm,19,blm,31,race rat,54,soros,35,blm,35,blm,23,globalists,29,george soros,32
3,black lives matter,17,civil war,13,george soros,13,george soros,27,pedophile,31,globalist,51,black lives matter,42,civil war,25,globalist,26,black lives matter,26,globalist,25,globalist,22,globalist,15,pedophile,23,pizza,21,civil war,15,pizza,15,globalists,14,pizza,15,rapists,20,civil war,38,rapists,27,globalist,18,globalists,19,pizza,38,blm,32,soros,30,pedophile,18,george soros,25,civil war,26
4,globalist,15,rapists,13,pizza,13,pedophilia,20,globalist,29,rapists,36,globalist,34,george soros,21,black lives matter,18,civil war,21,globalists,18,rapists,19,black lives matter,12,george soros,22,globalists,15,pedophile,15,civil war,12,globalist,13,globalist,13,cheese,18,soros,36,pedophile,26,globalists,17,george soros,16,soros,36,globalist,26,rapists,29,benghazi,14,pizza,25,pizza,25
5,pedophile,9,george soros,12,globalists,12,globalists,16,pizza,20,cheese,36,george soros,33,black lives matter,21,george soros,13,george lopez,15,rapists,17,george soros,16,rapists,12,black lives matter,21,civil war,14,george soros,14,pedophile,12,rapists,13,black lives matter,11,pizza,16,rapists,27,civil war,21,civil war,12,pizza,12,blm,34,rapists,20,globalists,28,globalists,12,benghazi,20,pedophile,21
6,civil war,8,pedophile,8,pedophile,11,pedophiles,14,george soros,18,civil war,24,pizza,26,globalist,17,pedophile,12,george soros,14,george soros,14,george orwell,13,george soros,10,pedophilia,21,pedophile,14,globalist,12,pedophilia,8,civil war,11,globalists,9,globalists,15,globalist,23,globalist,19,pizza,11,black lives matter,12,globalist,28,pedophile,19,benghazi,27,black lives matter,11,globalist,17,globalist,21
7,benghazi,7,human rights,8,civil war,11,civil war,14,globalists,17,pizza,23,globalists,23,globalists,16,globalists,10,globalists,11,black lives matter,11,pizza,10,civil war,10,globalist,20,black lives matter,12,pizza,11,george soros,8,pedos,9,george soros,9,george soros,12,rape gangs,17,jeffrey epstein,12,rapists,9,rapists,12,rapists,25,civil war,15,civil war,19,pedo,10,rapists,16,rapists,18
8,globalists,7,globalists,8,food stamps,9,black lives matter,12,cheese,15,globalists,20,benghazi,23,pizza,16,rapists,10,satan,7,pizza,10,globalists,10,pedophile,9,civil war,16,globalist,11,black lives matter,10,black lives matter,7,black lives matter,7,civil war,9,benghazi,11,pedophilia,16,rape gangs,10,pedophile,9,civil war,11,benghazi,17,globalists,10,pedophile,14,soros,10,pedophile,15,benghazi,13
9,illuminati,7,pedophilia,7,rapists,8,pedophile,12,civil war,13,pedophile,15,civil war,17,benghazi,13,scientologist,10,rapists,7,two party,9,cheese,10,race war,8,pedophiles,15,george soros,9,human trafficking,10,benghazi,6,george soros,7,cheese,8,civil war,7,pedo,12,pedophilia,9,george soros,6,child sexual,9,pedophiles,13,george soros,9,satan,11,rapists,8,civil war,15,globalists,12
10,pizza,6,pizza,6,zionist,8,cheese,10,race war,10,black lives matter,13,pedophile,15,pedophile,9,deleted emails,9,pedophile,6,civil rights,6,black lives matter,7,globalists,7,race war,15,goat,7,globalists,9,globalist,5,cheese,6,germanic,8,rape gangs,6,globalists,11,george soros,9,satan,6,pedophiles,8,civil war,13,pedophilia,8,george soros,8,civil war,7,cheetos,10,black lives matter,12
11,bronies,5,black lives matter,6,benghazi,8,benghazi,9,satan,9,germanic,10,pedophilia,11,george bush,7,zionist,9,human rights,5,pizzas,6,benghazi,7,child rapists,5,pedo,14,caliphate,6,rape gangs,8,zionist,5,benghazi,6,pedophiles,7,satan,6,george soros,10,globalists,9,black lives matter,5,pedophile,8,pedophile,12,satan,7,the emails,7,satan,7,secret service,10,illuminati,11
12,pansexual,5,race war,6,illuminati,8,open society,9,benghazi,7,george bush,9,illuminati,8,pansexual,7,civil war,9,child rape,4,benghazi,5,rape gangs,7,pedophilia,5,pizza,12,pedophilia,6,pedophiles,5,globalists,5,pedophilia,6,the rich,7,jeff sessions,5,pizza,10,lolita express,8,human rights,5,human rights,7,globalists,11,pedo,6,race war,7,sex trafficking,7,black lives matter,10,cheetos,9
13,cheese,4,pedophiles,6,race war,6,caliphate,7,pedophiles,7,benghazi,9,pedo,7,rothschilds,6,satan,7,libertarian party,4,gops,5,the emails,5,child rapist,4,zionist,11,email server,5,germanic,5,george bush,4,email server,6,black violence,6,two party,5,pedos,10,illuminati,7,cheese,4,benghazi,7,pedophilia,10,illuminati,6,jeff sessions,5,child porn,7,satan,9,supremacist,7
14,pedophiles,4,benghazi,5,leninist,5,rapists,6,child rapist,6,child rapists,8,the emails,6,rape gangs,5,pedophilia,7,pizza,4,civil society,4,drug war,4,child rape,4,goat,11,benghazi,5,rascist,5,pedo,4,satan,6,marxist,6,pedophile,4,benghazi,10,pizza,7,her emails,4,rape gangs,6,illuminati,8,cheese,5,george f,5,jeffrey epstein,6,pedophilia,8,pedophiles,7
