,2016-03-01_ents,2016-03-01_count,2016-03-02_ents,2016-03-02_count,2016-03-03_ents,2016-03-03_count,2016-03-04_ents,2016-03-04_count,2016-03-05_ents,2016-03-05_count,2016-03-06_ents,2016-03-06_count,2016-03-07_ents,2016-03-07_count,2016-03-08_ents,2016-03-08_count,2016-03-09_ents,2016-03-09_count,2016-03-10_ents,2016-03-10_count,2016-03-11_ents,2016-03-11_count,2016-03-12_ents,2016-03-12_count,2016-03-13_ents,2016-03-13_count,2016-03-14_ents,2016-03-14_count,2016-03-15_ents,2016-03-15_count,2016-03-16_ents,2016-03-16_count,2016-03-17_ents,2016-03-17_count,2016-03-18_ents,2016-03-18_count,2016-03-19_ents,2016-03-19_count,2016-03-20_ents,2016-03-20_count,2016-03-21_ents,2016-03-21_count,2016-03-22_ents,2016-03-22_count,2016-03-23_ents,2016-03-23_count,2016-03-24_ents,2016-03-24_count,2016-03-25_ents,2016-03-25_count,2016-03-26_ents,2016-03-26_count,2016-03-27_ents,2016-03-27_count,2016-03-28_ents,2016-03-28_count,2016-03-29_ents,2016-03-29_count,2016-03-30_ents,2016-03-30_count,2016-03-31_ents,2016-03-31_count
0,blm,59,globalist,30,blm,39,globalist,39,blm,111,blm,63,blm,115,blm,33,globalist,32,blm,33,blm,86,blm,941,blm,392,soros,352,soros,136,blm,290,blm,126,soros,195,soros,177,soros,254,soros,289,soros,140,soros,95,soros,72,george soros,2625,soros,48,blm,54,soros,57,soros,76,blm,84,blm,94
1,george lopez,32,blm,30,rapists,35,illuminati,20,black lives matter,26,rapists,63,rapists,75,globalist,27,blm,27,globalist,29,globalist,33,soros,171,soros,275,blm,212,blm,109,soros,95,soros,69,blm,71,blm,145,blm,117,blm,71,blm,67,blm,54,zionist,41,benghazi,828,blm,42,civil war,23,blm,47,blm,75,cheese,73,soros,53
2,globalist,29,civil war,21,globalist,35,globalists,20,globalist,25,globalist,30,black lives matter,32,rapists,22,rapists,16,rapists,20,rapists,22,black lives matter,118,george soros,79,george soros,111,george soros,44,black lives matter,62,globalist,40,george soros,53,pizza,38,george soros,61,george soros,59,george soros,63,civil war,43,globalist,37,soros,106,globalist,38,soros,23,rapists,46,rapists,42,soros,41,globalist,39
3,black lives matter,27,pizza,18,globalists,31,blm,12,rapists,13,globalists,13,globalist,30,black lives matter,15,soros,12,soros,17,globalists,18,george soros,94,black lives matter,46,rapists,68,black lives matter,23,globalist,46,rapists,33,rapists,50,george soros,37,globalist,39,globalist,31,globalist,33,globalist,38,rapists,30,murder corruption,100,george soros,28,globalist,21,globalist,41,globalist,29,black lives matter,28,pizza,31
4,globalists,26,rapists,17,black lives matter,16,secret society,12,illuminati,10,civil war,9,civil war,26,globalists,12,globalists,11,globalists,14,soros,17,civil war,72,globalist,45,globalist,62,rapists,20,rapists,37,benghazi,29,benghazi,35,benghazi,35,rapists,33,benghazi,27,globalists,29,pizza,34,civil war,28,blm,45,civil war,26,rapists,20,civil war,25,pizza,23,rapists,19,black lives matter,28
5,civil war,20,globalists,14,civil war,11,black lives matter,9,globalists,10,pizza,6,soros,20,soros,11,civil war,9,benghazi,9,pizza,16,globalist,44,rapists,41,civil war,47,globalist,19,george soros,33,globalists,27,globalist,33,rapists,27,black lives matter,27,rapists,22,civil war,26,rapists,34,blm,26,globalist,30,globalists,15,pizza,19,globalists,24,george soros,22,civil war,18,rapists,22
6,pizza,12,george lopez,13,benghazi,9,jeff sessions,9,soros,8,sex crimes,5,george soros,19,civil war,9,germanic,7,pizza,9,black lives matter,14,secret service,37,globalists,31,globalists,32,globalists,14,benghazi,26,clinton emails,25,civil war,11,black lives matter,23,benghazi,25,globalists,15,zionist,15,george soros,21,globalists,24,pedophile,14,pizza,14,benghazi,14,george soros,22,illuminati,16,globalist,16,george soros,20
7,satan,10,benghazi,7,secret service,8,boogers,8,civil war,7,black lives matter,4,globalists,13,benghazi,7,scientologist,6,illuminati,8,george soros,13,rapists,34,civil war,25,black lives matter,29,civil war,13,civil war,21,black lives matter,25,bronies,9,globalists,18,globalists,21,pizza,14,pedophile,15,pedophile,13,pedophile,18,civil war,12,black lives matter,11,george soros,13,the emails,14,cheese,14,race war,13,civil war,16
8,illuminati,10,her emails,6,human rights,6,benghazi,7,the emails,6,pedophile,3,illuminati,10,george soros,6,george bush,6,civil war,6,benghazi,11,race war,25,race war,19,pizza,16,pizza,13,pedophile,20,george soros,25,satan,9,civil war,17,civil war,12,her emails,13,rapists,13,globalists,11,george soros,16,black lives matter,7,rapists,11,globalists,11,pizza,12,globalists,13,globalists,10,globalists,14
9,rapists,9,pizzas,4,the emails,6,rapists,7,pizza,6,santorum,3,race war,9,satan,6,her emails,5,secret service,5,civil war,8,globalists,21,secret service,16,illuminati,13,benghazi,10,globalists,17,pizza,11,pizza,9,globalist,13,pizza,11,the emails,13,jihadist,10,human rights,9,benghazi,15,pizza,7,benghazi,11,pedophile,9,cheese,10,black lives matter,13,satan,9,benghazi,12
10,benghazi,8,human trafficking,4,email server,6,civil war,6,george soros,4,rallys,3,bankster,7,pizza,5,pizza,5,two party,5,rape culture,7,benghazi,17,zionist,15,secret service,11,secret service,9,satan,12,illuminati,9,globalists,9,the emails,12,pedophile,9,illuminati,10,benghazi,10,satan,9,pedophilia,15,superpacs,6,the emails,5,cheese,7,pedophilia,9,civil war,11,pedophile,9,email server,11
11,the emails,7,george bush,4,two party,5,pizza,6,child rapist,4,cold war,3,george bush,6,illuminati,4,illuminati,5,pedophile,5,two party,7,pizza,16,brownshirts,14,benghazi,9,race war,7,pedophiles,12,the emails,9,brony,8,clinton emails,7,illuminati,8,black lives matter,9,pedophiles,10,benghazi,9,drug war,15,the emails,5,illuminati,5,the tweets,6,black lives matter,9,secret service,11,george soros,7,false flag,10
12,georgelopez,6,the emails,4,pedophile,5,civil rights,5,booger,4,illuminati,3,benghazi,6,race war,4,secret society,5,black lives matter,4,race war,7,false flag,12,illuminati,8,bronies,8,pedophile,6,illuminati,9,george clooney,8,black lives matter,7,pedophile,7,open society,8,open society,9,satan,9,black lives matter,9,pizza,10,rapists,5,goat,4,george lopez,5,email server,8,human rights,8,secret service,7,the emails,9
13,soros,5,illuminati,4,clinton email,5,war war,4,her emails,4,the emails,3,the emails,6,secret service,4,the emails,4,bitcoins,4,zionist,6,supremacist,10,pizza,8,zionist,8,satan,5,pedophilia,7,civil war,8,illuminati,6,george carlin,6,pedophilia,5,civil war,9,black lives matter,9,jihadist,5,death toll,10,globalists,5,pedophile,4,eugenicist,5,her emails,8,pedophile,7,jihadist,6,cheese,8
14,pedophile,5,santorum,4,george soros,4,booger,4,santorum,4,pedophilic,3,pizza,5,santorum,4,benghazi,4,george soros,4,george bush,5,black lives matters,9,false flag,7,gitmo,6,pedophiles,5,gaddafi,7,zionist,7,clinton emails,5,black violence,6,george zimmerman,4,drug war,7,pizza,8,illuminati,5,pedophiles,9,sex scandals,4,satan,4,buddhists,4,pedophile,8,germanic,6,pedophilia,6,food stamps,6
