,2016-10-01_ents,2016-10-01_count,2016-10-02_ents,2016-10-02_count,2016-10-03_ents,2016-10-03_count,2016-10-04_ents,2016-10-04_count,2016-10-05_ents,2016-10-05_count,2016-10-06_ents,2016-10-06_count,2016-10-07_ents,2016-10-07_count,2016-10-08_ents,2016-10-08_count,2016-10-09_ents,2016-10-09_count,2016-10-10_ents,2016-10-10_count,2016-10-11_ents,2016-10-11_count,2016-10-12_ents,2016-10-12_count,2016-10-13_ents,2016-10-13_count,2016-10-14_ents,2016-10-14_count,2016-10-15_ents,2016-10-15_count,2016-10-16_ents,2016-10-16_count,2016-10-17_ents,2016-10-17_count,2016-10-18_ents,2016-10-18_count,2016-10-19_ents,2016-10-19_count,2016-10-20_ents,2016-10-20_count,2016-10-21_ents,2016-10-21_count,2016-10-22_ents,2016-10-22_count,2016-10-23_ents,2016-10-23_count,2016-10-24_ents,2016-10-24_count,2016-10-25_ents,2016-10-25_count,2016-10-26_ents,2016-10-26_count,2016-10-27_ents,2016-10-27_count,2016-10-28_ents,2016-10-28_count,2016-10-29_ents,2016-10-29_count,2016-10-30_ents,2016-10-30_count,2016-10-31_ents,2016-10-31_count
0,globalist,72,rape rape,130,blm,129,blm,131,rapists,150,blm,94,podesta emails,104,rapist,774,predator sexual,2332,podesta emails,628,podesta emails,602,podesta emails,780,podesta emails,918,podesta emails,798,podesta emails,574,podesta emails,585,podesta emails,516,podesta emails,742,podesta emails,782,podesta emails,548,podesta emails,744,podesta emails,409,podesta emails,566,podesta emails,592,podesta emails,411,podesta emails,642,podesta emails,523,the emails,442,podesta emails,494,the emails,416,podesta emails,620
1,soros,71,blm,118,seth rich,71,soros,127,the emails,66,soros,90,blm,84,globalist,195,rapists,747,soros,386,globalist,125,the emails,240,the emails,190,soros,186,soros,150,hillarys emails,246,soros,305,soros,369,soros,249,soros,364,soros,524,soros,375,soros,427,soros,383,soros,401,soros,336,soros,362,podesta emails,389,the emails,475,podesta emails,337,the emails,435
2,blm,49,soros,53,rapers,59,seth rich,65,blm,65,globalist,62,soros,79,podesta emails,162,sexual predators,724,benghazi,164,soros,98,globalist,137,globalist,133,the emails,174,globalist,139,the emails,152,globalists,146,globalist,129,globalist,157,the emails,257,the emails,228,the emails,118,george soros,98,the emails,139,george soros,255,the emails,335,george soros,316,george soros,277,soros,181,soros,162,soros,235
3,globalists,33,globalist,47,rapist rapists,59,globalist,63,globalist,60,benghazi,45,globalist,53,globalists,102,predator,620,the emails,142,globalists,90,soros,111,soros,118,globalist,145,the emails,127,soros,124,the emails,138,the emails,118,the emails,126,benghazi,112,seth rich,147,globalist,97,the emails,93,seth rich,112,the emails,144,george soros,295,the emails,230,soros,195,george soros,105,pedophile,110,seth rich,180
4,seth rich,28,seth rich,46,globalist,48,globalists,46,pizza,56,civil war,39,the emails,51,the emails,64,clinton rape,391,rapist raping,119,the emails,81,globalists,91,globalists,84,george soros,94,globalists,81,globalist,100,globalist,108,globalists,84,george soros,78,seth rich,109,globalist,114,seth rich,88,globalist,92,benghazi,87,benghazi,111,globalist,89,globalist,120,these emails,131,globalist,84,pedo,98,pedophile,126
5,benghazi,27,globalists,45,soros,46,benghazi,39,soros,55,seth rich,36,globalists,48,benghazi,43,globalist,155,george soros,105,blm,59,these emails,83,these emails,77,seth rich,83,benghazi,74,civil war,73,blm,84,blm,79,globalists,76,george soros,99,george soros,95,globalists,67,seth rich,87,globalist,84,globalist,83,globalists,74,blm,89,blm,109,those emails,82,globalist,95,pedo,110
6,civil war,24,benghazi,36,benghazi,41,george soros,36,benghazi,53,globalists,32,benghazi,44,pedophile,43,globalists,93,globalist,99,rapists,48,benghazi,57,benghazi,68,globalists,79,george soros,57,these emails,67,civil war,69,seth rich,70,benghazi,66,globalist,97,benghazi,90,george soros,65,benghazi,58,george soros,77,pedophile,64,deleted emails,67,benghazi,66,deleted emails,89,these emails,82,civil war,75,globalist,109
7,pedophile,15,black lives matter,24,gaddafi,27,pizza,35,pedophile,47,george soros,25,civil war,39,soros,42,rape rapist,83,pedophile,86,seth rich,48,george soros,50,seth rich,55,blm,79,seth rich,52,globalists,57,benghazi,63,george soros,67,blm,60,these emails,64,globalists,78,blm,45,globalists,53,podesta email,47,blm,44,those emails,62,globalists,55,clinton email,77,clinton emails,82,these emails,72,these emails,88
8,george soros,15,the emails,15,civil war,21,the emails,32,pedo,41,the emails,24,seth rich,27,civil war,34,rapist,83,sexual assault,68,benghazi,46,blm,48,civil war,42,benghazi,77,blm,52,blm,45,george soros,60,benghazi,45,pedophile,56,globalists,60,these emails,44,benghazi,43,blm,36,blm,45,globalists,42,blm,62,civil war,52,those emails,68,benghazi,80,those emails,70,pedophilia,87
9,pizza,13,rapists,15,globalists,19,new emails,27,globalists,35,black lives matter,23,these emails,23,rapists,32,civil war,54,globalists,66,civil war,38,seth rich,45,blm,40,these emails,54,these emails,45,george soros,40,seth rich,58,civil war,43,hillarys emails,48,hillarys emails,52,blm,42,pedo,27,civil war,34,globalists,43,civil war,40,benghazi,59,rapists,40,globalist,68,pedophile,64,benghazi,64,those emails,70
