,2016-06-01_ents,2016-06-01_count,2016-06-02_ents,2016-06-02_count,2016-06-03_ents,2016-06-03_count,2016-06-04_ents,2016-06-04_count,2016-06-05_ents,2016-06-05_count,2016-06-06_ents,2016-06-06_count,2016-06-07_ents,2016-06-07_count,2016-06-08_ents,2016-06-08_count,2016-06-09_ents,2016-06-09_count,2016-06-10_ents,2016-06-10_count,2016-06-11_ents,2016-06-11_count,2016-06-12_ents,2016-06-12_count,2016-06-13_ents,2016-06-13_count,2016-06-14_ents,2016-06-14_count,2016-06-15_ents,2016-06-15_count,2016-06-16_ents,2016-06-16_count,2016-06-17_ents,2016-06-17_count,2016-06-18_ents,2016-06-18_count,2016-06-19_ents,2016-06-19_count,2016-06-20_ents,2016-06-20_count,2016-06-21_ents,2016-06-21_count,2016-06-22_ents,2016-06-22_count,2016-06-23_ents,2016-06-23_count,2016-06-24_ents,2016-06-24_count,2016-06-25_ents,2016-06-25_count,2016-06-26_ents,2016-06-26_count,2016-06-27_ents,2016-06-27_count,2016-06-28_ents,2016-06-28_count,2016-06-29_ents,2016-06-29_count,2016-06-30_ents,2016-06-30_count
0,blm,49,globalist,40,soros,70,blm,67,leaked classified,82,blm,29,blm,41,blm,40,child rapist,236,her emails,488,child rapist,139,child rapist,208,child rapist,162,blm,111,blm,82,blm,144,blm,68,soros,24,globalist,28,rapists,37,soros,86,globalist,47,globalist,71,globalists,297,soros,73,globalist,55,globalist,42,benghazi,145,blm,70,globalist,65
1,rapists,33,blm,37,civil war,62,soros,44,rapists,53,globalist,28,globalist,36,globalist,32,blm,42,child rapist,318,globalist,38,human trafficking,48,buddhists,57,goldensights,100,globalist,81,goldensights,60,black lives matter,53,blm,23,blm,15,globalist,28,blm,43,soros,28,globalists,46,globalist,257,globalist,50,globalists,33,blm,39,globalist,64,benghazi,68,globalists,39
2,globalist,23,benghazi,20,blm,60,civil war,40,blm,33,rapists,27,benghazi,31,quaeda,32,globalist,26,soros,37,civil war,32,globalist,44,globalist,44,globalist,79,civil war,62,guccifer,48,soros,39,benghazi,19,civil war,15,civil war,23,globalist,37,globalists,26,blm,22,soros,118,globalists,39,soros,32,globalists,36,globalists,31,globalist,56,blm,32
3,soros,14,rapists,19,rapists,45,rapists,34,globalist,24,civil war,24,black lives matter,14,civil war,25,benghazi,24,globalist,26,blm,24,rapists,35,blm,44,child rapist,67,goldensights,59,globalist,40,globalist,38,civil war,17,rapists,15,globalists,22,civil war,33,benghazi,24,rapists,21,george soros,44,george soros,25,blm,27,soros,18,soros,23,globalists,46,gaddafi,29
4,civil war,14,civil war,15,globalist,36,globalist,28,civil war,23,soros,22,soros,14,rapists,22,pedophile,19,globalists,26,benghazi,24,benghazi,31,civil war,31,globalists,64,globalists,57,civil war,29,civil war,22,globalist,16,globalists,13,blm,20,guccifer,27,clinton cash,14,soros,21,civil war,22,blm,19,pizza,19,black lives matter,12,blm,22,soros,25,benghazi,22
5,benghazi,14,soros,14,george soros,19,george soros,20,soros,21,globalists,15,civil war,13,benghazi,21,soros,16,rapists,23,rapists,20,globalists,30,globalists,30,soros,46,guccifer,34,globalists,26,george soros,15,rapists,15,child abuse,11,pedophile,13,rapists,18,civil war,12,trump emails,18,blm,15,illuminati,15,civil war,13,civil war,12,rapists,8,black lives matter,17,zionist,21
6,globalists,12,pizza,11,race war,15,globalists,20,race war,16,george soros,11,rapists,13,globalists,16,emails,15,benghazi,21,globalists,20,human rights,29,goat,25,civil war,40,soros,29,black lives matter,26,globalists,15,child abuse,14,soros,10,benghazi,12,george soros,16,blm,12,civil war,15,rapists,12,civil war,13,benghazi,12,rapists,7,superstate,8,gamergate,12,civil war,21
7,black lives matter,10,gops,11,benghazi,14,pedophile,18,gamergate,16,googles,11,pizza,13,soros,13,civil war,15,blm,19,soros,19,goat,25,satanists,25,george soros,39,gamergate,20,pedophile,22,benghazi,13,globalists,12,benghazi,10,soros,12,benghazi,14,guccifer,11,benghazi,11,benghazi,8,sjwhate,11,illuminati,12,pedo,7,guccifer,7,civil war,11,jeff sessions,12
8,pedophile,6,pedophile,10,berniebots,13,pedophilia,10,the emails,12,race war,11,globalists,10,pedophile,10,rapists,15,civil war,17,food stamps,12,blm,20,satanist,21,black lives matter,26,illuminati,20,soros,20,pedophiles,13,guccifer,11,child rape,7,child abuse,11,globalists,12,pedophilia,11,email server,11,trump emails,8,monsanto,11,george soros,8,benghazi,7,pedophile,7,rapists,9,the emails,10
9,clinton emails,6,the tweets,9,marxist,12,marxist,8,pedophile,10,benghazi,9,george soros,7,clinton cash,9,the emails,14,the emails,15,pedo,8,soros,16,soros,20,rapists,22,benghazi,18,rapists,15,goat,12,george soros,11,pedophile,5,rape culture,10,gamergate,12,the emails,9,monsanto,11,illuminati,7,rapists,8,rapists,8,the emails,6,george bush,6,the emails,7,gamergate,8
