,2016-07-01_ents,2016-07-01_count,2016-07-02_ents,2016-07-02_count,2016-07-03_ents,2016-07-03_count,2016-07-04_ents,2016-07-04_count,2016-07-05_ents,2016-07-05_count,2016-07-06_ents,2016-07-06_count,2016-07-07_ents,2016-07-07_count,2016-07-08_ents,2016-07-08_count,2016-07-09_ents,2016-07-09_count,2016-07-10_ents,2016-07-10_count,2016-07-11_ents,2016-07-11_count,2016-07-12_ents,2016-07-12_count,2016-07-13_ents,2016-07-13_count,2016-07-14_ents,2016-07-14_count,2016-07-15_ents,2016-07-15_count,2016-07-16_ents,2016-07-16_count,2016-07-17_ents,2016-07-17_count,2016-07-18_ents,2016-07-18_count,2016-07-19_ents,2016-07-19_count,2016-07-20_ents,2016-07-20_count,2016-07-21_ents,2016-07-21_count,2016-07-22_ents,2016-07-22_count,2016-07-23_ents,2016-07-23_count,2016-07-24_ents,2016-07-24_count,2016-07-25_ents,2016-07-25_count,2016-07-26_ents,2016-07-26_count,2016-07-27_ents,2016-07-27_count,2016-07-28_ents,2016-07-28_count,2016-07-29_ents,2016-07-29_count,2016-07-30_ents,2016-07-30_count,2016-07-31_ents,2016-07-31_count
0,blm,43,blm,48,blm,51,blm,69,the emails,61,blm,35,blm,2694,blm,2185,blm,682,blm,599,blm,523,blm,648,blm,305,blm,266,blm,392,blm,245,blm,685,blm,681,blm,339,blm,184,blm,159,dnc emails,340,dnc emails,149,dnc emails,565,dnc emails,175,blm,126,the emails,169,soros,105,blm,73,soros,78,globalist,65
1,globalist,37,globalist,26,soros,37,globalist,33,benghazi,32,the emails,33,the emails,47,black lives matter,419,black lives matter,115,black lives matter,86,soros,89,globalist,72,soros,102,globalist,85,globalist,116,civil war,73,black lives matter,74,soros,81,benghazi,121,globalist,49,globalist,66,blm,181,blm,97,the emails,131,blm,160,dnc emails,84,blm,132,blm,97,clinton cash,72,globalist,64,benghazi,58
2,civil war,19,the emails,19,civil war,22,clinton emails,19,civil war,30,globalist,31,globalist,40,soros,195,soros,100,soros,71,black lives matter,82,black lives matter,65,globalist,68,soros,37,civil war,97,black lives matter,62,clinton soros,37,black lives matter,81,black lives matter,46,soros,35,newt,36,globalist,53,the emails,63,blm,94,the emails,91,the emails,64,clinton cash,113,globalist,59,soros,61,blm,62,soros,55
3,globalists,19,benghazi,13,pizza,21,the emails,18,email server,28,benghazi,30,benghazi,35,race war,151,race war,46,globalist,43,globalist,31,soros,43,black lives matter,64,black lives matter,37,globalists,68,globalist,60,race war,36,race war,37,blue lives matter,44,black lives matter,32,soros,26,globalists,47,globalist,52,clinton cash,93,clinton cash,50,globalist,56,globalist,72,the emails,46,globalist,53,globalists,40,blm,51
4,rapists,17,soros,12,globalist,20,globalists,14,blm,25,guccifer,25,black lives matter,33,civil war,55,globalist,41,race war,38,george soros,29,race war,29,globalists,37,globalists,34,soros,51,false flag,43,soros,31,george soros,30,soros,37,satan,27,globalists,24,black lives matter,34,soros,33,globalist,46,globalist,44,clinton cash,42,black lives matter,54,clinton cash,45,benghazi,45,benghazi,28,globalists,44
5,black lives matter,16,globalists,9,globalists,18,email server,14,classified emails,24,email server,18,rapists,33,george soros,53,civil war,35,civil war,24,race war,23,rapists,25,race war,24,civil war,32,black lives matter,26,globalists,37,globalist,27,globalist,26,globalist,34,the emails,22,benghazi,21,soros,30,these emails,32,soros,37,soros,29,soros,28,dnc emails,52,dnc emails,35,the emails,36,the emails,23,dnc emails,41
6,benghazi,11,rapists,8,the emails,17,black lives matter,12,globalist,24,civil war,16,globalists,27,globalist,51,george soros,34,globalists,19,globalists,21,globalists,24,george soros,24,jeff sessions,12,pedophile,23,soros,25,civil war,26,civil war,19,civil war,18,globalists,21,the emails,17,civil war,29,govpencein,28,these emails,32,civil war,27,globalists,25,globalists,52,globalists,29,george soros,35,clinton cash,22,the emails,24
7,george soros,10,black lives matter,8,black lives matter,16,these emails,11,her emails,21,globalists,14,guccifer,22,blue lives matter,37,globalists,34,george soros,15,civil war,20,civil war,16,rapists,20,rapists,12,george soros,16,rapists,14,benghazi,20,benghazi,15,pizza,11,rapists,18,cheese,16,benghazi,24,dnc email,24,clinton emails,21,globalists,24,black lives matter,25,soros,46,george soros,28,pedophile,24,pedophile,18,rapists,17
8,soros,9,genderfluid,7,rapists,14,pedophile,10,guccifer,17,her emails,14,classified emails,20,blacklivesmatter,28,blacklivesmatter,17,blacklivesmatter,13,guccifer,19,george soros,14,civil war,16,newt,11,race war,13,pizza,13,blacklivesmatter,15,pizza,13,george soros,10,satanists,17,civil war,13,these emails,19,leaked emails,23,benghazi,17,black lives matter,19,benghazi,19,those emails,41,seth rich,27,black lives matter,24,george soros,18,pedophile,14
9,pedophile,8,email server,7,illuminati,13,soros,9,secret emails,17,soros,14,email server,19,black crime,28,skittles,16,the emails,12,pedophilia,17,bernies,12,pedophile,14,pedophile,9,false flag,11,gamergate,11,rapists,14,black crime,12,race war,10,gamergate,15,rapists,13,emails,17,globalists,22,globalists,15,guccifer,18,civil war,17,seth rich,41,black lives matter,21,pizza,21,satan,15,civil war,13
